E: 1, avg_ret: -0.006557377049138724
E: 2, avg_ret: -0.1795944779982336
E: 3, avg_ret: -0.1384431022912051
E: 4, avg_ret: 0.4025779296918628
E: 5, avg_ret: 1.0185658402569964
E: 6, avg_ret: 1.321307672716977
E: 7, avg_ret: 1.421926723134704
E: 8, avg_ret: 1.4846317426154827
E: 9, avg_ret: 1.7066190470490434
E: 10, avg_ret: 1.842441783982369
E: 11, avg_ret: 1.9696179227425965
E: 12, avg_ret: 2.1877631454136792
E: 13, avg_ret: 2.207732782001294
E: 14, avg_ret: 2.382660184566237
E: 15, avg_ret: 2.4242696870010527
E: 16, avg_ret: 2.8574937307169006
E: 17, avg_ret: 2.925186275862756
E: 18, avg_ret: 3.1610967980890674
E: 19, avg_ret: 3.2421460170693215
E: 20, avg_ret: 3.242146017069321
E: 21, avg_ret: 3.2383797940637247
E: 22, avg_ret: 3.369044493073748
E: 23, avg_ret: 3.532963563886787
E: 24, avg_ret: 3.6066197713719905
E: 25, avg_ret: 3.587531576275367
E: 26, avg_ret: 3.51685494048323
E: 27, avg_ret: 3.4681737579730507
